Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   239860    0.076    0.000    0.098    0.000 indexing.py:2376(is_nested_tuple)
   480872    0.071    0.000    0.071    0.000 multiarray.py:145(concatenate)
   481397    0.070    0.000    0.070    0.000 base.py:3670(_values)
146144/100186    0.069    0.000    0.717    0.000 copy.py:211(_deepcopy_list)
   483477    0.067    0.000    0.067    0.000 {method 'add' of 'set' objects}
   239860    0.061    0.000    0.061    0.000 generic.py:3656(_check_setitem_copy)
   489703    0.061    0.000    0.061    0.000 {built-in method builtins.callable}
    20925    0.051    0.000    0.052    0.000 nn_input_logic.py:168(<listcomp>)
     6949    0.051    0.000    0.140    0.000 Game.py:378(check_state_effects)
      715    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
    31860    0.047    0.000    0.047    0.000 nn_input_logic.py:97(<listcomp>)
     9892    0.047    0.000    0.081    0.000 Player.py:405(get_legal_targets)
    31860    0.046    0.000    0.046    0.000 nn_input_logic.py:96(<listcomp>)
16506/3600    0.046    0.000    1.306    0.000 copy.py:269(_reconstruct)
   240600    0.045    0.000    0.045    0.000 missing.py:73(clean_fill_method)
   243507    0.045    0.000    0.045    0.000 {pandas._libs.algos.ensure_object}
    20925    0.044    0.000    0.044    0.000 nn_input_logic.py:167(<listcomp>)
   240171    0.044    0.000    0.044    0.000 {method 'clear' of 'dict' objects}
   240371    0.043    0.000    0.043    0.000 numeric.py:83(_validate_dtype)
   803986    0.043    0.000    0.043    0.000 copy.py:190(_deepcopy_atomic)
   240351    0.042    0.000    0.042    0.000 {pandas._libs.algos.ensure_platform_int}
   240272    0.042    0.000    0.042    0.000 multiarray.py:1043(copyto)
   240117    0.042    0.000    0.042    0.000 series.py:359(_constructor)
     8824    0.037    0.000    0.211    0.000 Player.py:618(get_potential_mana)
    31860    0.037    0.000    0.037    0.000 nn_input_logic.py:98(<listcomp>)
     5368    0.035    0.000    0.563    0.000 Player.py:283(make_play)
    20925    0.034    0.000    0.034    0.000 nn_input_logic.py:166(<listcomp>)
   239862    0.032    0.000    0.032    0.000 base.py:626(ndim)
   240112    0.031    0.000    0.031    0.000 base.py:609(<lambda>)
   240111    0.029    0.000    0.029    0.000 numeric.py:155(is_all_dates)
   239860    0.028    0.000    0.028    0.000 series.py:1149(_is_mixed_type)
     5584    0.026    0.000    0.028    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
   239860    0.026    0.000    0.026    0.000 indexing.py:748(_has_valid_setitem_indexer)
    20925    0.024    0.000    0.024    0.000 nn_input_logic.py:173(<listcomp>)
    20925    0.024    0.000    0.024    0.000 nn_input_logic.py:171(<listcomp>)
    11564    0.023    0.000    0.023    0.000 nn_input_logic.py:78(<listcomp>)
   286637    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
    11564    0.022    0.000    0.022    0.000 nn_input_logic.py:76(<listcomp>)
      715    0.022    0.000    0.022    0.000 {method 'read' of '_io.FileIO' objects}
     5584    0.020    0.000    0.170    0.000 base.py:4372(get_value)
1663/1654    0.018    0.000    0.068    0.000 {built-in method builtins.__build_class__}
    74499    0.017    0.000    0.028    0.000 Concepts.py:180(check_condition)
    13944    0.017    0.000    0.026    0.000 Player.py:632(check_potential_mana)
     4647    0.017    0.000    0.234    0.000 Abilities_Effects.py:217(perform_legal_check)
        2    0.016    0.008    0.016    0.008 {pandas._libs.writers.write_csv_rows}
     1313    0.015    0.000    0.037    0.000 managers.py:212(_rebuild_blknos_and_blklocs)
      800    0.014    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
      220    0.013    0.000    0.013    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      160    0.013    0.000    0.013    0.000 {built-in method builtins.eval}
    54493    0.013    0.000    0.013    0.000 Card_types.py:714(check_keyword)
 1644/487    0.013    0.000    0.082    0.000 Player.py:644(tap_sources_for_cost)
      365    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
     3240    0.012    0.000    0.018    0.000 Card_types.py:323(assign_sources)
    13943    0.012    0.000    0.044    0.000 Concepts.py:74(check_costs)
     5584    0.012    0.000    0.186    0.000 series.py:868(__getitem__)
